# k(t) scatter data
year,k_approach0,k_approach5c
1961,-0.14412502,-0.14384734
68,ISL,0.09822805,0.09638784,-0.00139244,-0.00139160,0.00002644,0.00003205
69,ISR,0.00343343,0.00426039,-0.00096245,-0.00096454,0.00006179,0.00005914
70,ITA,0.00537043,0.00542505,-0.00131606,-0.00131846,0.00003824,0.00003819
71,JAM,0.03261850,0.03288163,-0.00053459,-0.00053467,0.00003714,0.00003653
72,JOR,0.00785372,0.00862277,-0.00089897,-0.00090136,0.00001065,0.00000816
73,JPN,0.01122492,0.01115038,-0.00192485,-0.00192555,0.00006286,0.00006317
74,KAZ,0.03506041,0.03545634,0.00106531,0.00103671,-0.00000489,-0.00000489
75,KEN,0.03135335,0.03157377,-0.00012409,-0.00012338,0.00003933,0.00003886
76,KGZ,0.05040191,0.05082100,-0.00154602,-0.00160555,0.00012859,0.00013000
77,KHM,0.05682487,0.05713314,0.00036944,0.00036950,0.00002450,0.00002368
78,KOR,0.05531594,0.05529650,-0.00156837,-0.00156855,-0.00000577,-0.00000566
79,KWT,0.05313842,0.05503590,0.00138726,0.00138352,-0.00003659,-0.00004255
80,LAO,0.04952634,0.04998505,0.00040177,0.00040149,0.00000766,0.00000639
81,LBN,0.01215506,0.01238983,-0.00019179,-0.00019400,-0.00002807,-0.00002894
82,LBR,-0.03976931,-0.03899770,-0.00033750,-0.00033725,0.00013673,0.00013452
83,LBY,0.02166082,0.02193377,-0.00252486,-0.00252493,0.00007533,0.00007463
84,LKA,0.07758290,0.07767731,-0.00009370,-0.00009297,-0.00001709,-0.00001715
85,LSO,0.01022359,0.01042528,-0.00122384,-0.00122430,0.00002795,0.00002742
86,LTU,0.03504960,0.03557910,-0.00114003,-0.00109554,0.00009947,0.00009590
87,LUX,0.03679083,0.03654844,-0.00115549,-0.00115732,0.00000224,0.00000281
88,LVA,0.03726611,0.03784817,-0.00171239,-0.00164821,0.00011354,0.00010895
89,MAR,0.01138834,0.01179999,-0.00045801,-0.00045822,0.00001633,0.00001515
90,MDA,-0.02826260,-0.02777171,-0.00296390,-0.00296920,0.00022383,0.00022265
91,MDG,-0.00634825,-0.00550919,-0.00009722,-0.00009698,0.00004466,0.00004225
92,MEX,0.01383797,0.01480314,-0.00081486,-0.00081690,0.00003384,0.00003101
93,MKD,0.00351880,0.00233936,-0.00116532,-0.00117013,0.00008491,0.00008860
94,MLI,0.06589660,0.06558360,-0.00024292,-0.00024146,0.00002277,0.00002392
95,MLT,0.03843315,0.03879415,-0.00104280,-0.00104248,0.00001138,0.00001040
96,MMR,0.04586226,0.04622892,0.00017039,0.00017060,-0.00000270,-0.00000363
97,MNE,0.01892728,0.01784244,-0.00068886,-0.00069381,0.00008962,0.00009298
98,MNG,0.15000281,0.14939426,-0.00029345,-0.00029578,0.00000398,0.00000560
99,MOZ,-0.01538173,-0.01509108,-0.00038468,-0.00038385,0.00007911,0.00007840
100,MRT,0.06188670,0.06208435,-0.00040127,-0.00040027,0.00005603,0.00005556
101,MUS,0.03654203,0.03752540,-0.00051910,-0.00052024,0.00001456,0.00001167
102,MWI,0.00774279,0.00768714,-0.00053067,-0.00052924,0.00003955,0.00003989
103,MYS,0.07312540,0.07324770,-0.00049955,-0.00049909,0.00000562,0.00000547
104,NAM,-0.00496888,-0.00473379,-0.00052580,-0.00052513,0.00003972,0.00003918
105,NER,0.02109633,0.02088092,0.00012442,0.00012544,0.00007771,0.00007850
