# Input data: bootstrap_h_values.csv
# Point estimate cumulative effects for all countries
iteration,approach,iso3,year,temp,h_T,h_T_trend_1961,h_T_delta,h_T_delta_cum
-1,method4,TUN,1981,19.4,0.07601643,0.07727396,-0.0012575300000000067,-0.00264158000000006
-1,method4,TUN,1982,19.8,0.07580645,0.07727396,-0.0014675100000000052,-0.004109090000000065
-1,method4,TUN,1983,19.7,0.07566999,0.07727396,-0.0016039699999999962,-0.005713060000000061
-1,method4,TUN,1984,19.0,0.07793309,0.07727396,0.0006591299999999939,-0.0050539300000000675
-1,method4,TUN,1985,19.7,0.07557085,0.07727396,-0.0017031100000000077,-0.006757040000000075
-1,method4,TUN,1986,19.7,0.07553568,0.07727396,-0.0017382800000000087,-0.008495320000000084
-1,method4,TUN,1987,19.9,0.07544225,0.07727396,-0.0018317100000000003,-0.010327030000000084
-1,method4,TUN,1988,20.1,0.07558149,0.07727396,-0.0016924700000000015,-0.012019500000000086
-1,method4,TUN,1989,19.8,0.07535124,0.07727396,-0.0019227200000000028,-0.013942220000000088
-1,method4,TUN,1990,20.0,0.07524603,0.07727396,-0.0020279299999999972,-0.015970150000000086
-1,method4,TUN,1991,19.1,0.07851363,0.07727396,0.0012396699999999983,-0.014730480000000087
-1,method4,TUN,1992,19.3,0.07731861,0.07727396,4.4649999999993306e-05,-0.014685830000000094
-1,method4,TUN,1993,19.6,0.07591999,0.07727396,-0.001353969999999996,-0.01603980000000009
-1,method4,TUN,1994,20.6,0.07607023,0.07727396,-0.00120373,-0.01724353000000009
-1,method4,TUN,1995,19.9,0.0751131,0.07727396,-0.0021608600000000006,-0.01940439000000009
-1,method4,TUN,1996,19.6,0.07619627,0.07727396,-0.0010776900000000061,-0.020482080000000097
-1,method4,TUN,1997,20.4,0.07490181,0.07727396,-0.0023721500000000034,-0.0228542300000001
-1,method4,TUN,1998,19.8,0.07550837,0.07727396,-0.0017655899999999974,-0.024619820000000098
-1,method4,TUN,1999,20.5,0.07478627,0.07727396,-0.0024876900000000007,-0.0271075100000001
-1,method4,TUN,2000,20.3,0.07450509,0.07727396,-0.0027688700000000066,-0.029876380000000105
-1,method4,TUN,2001,20.6,0.0746658,0.07727396,-0.0026081599999999983,-0.0324845400000001
-1,method4,TUN,2002,20.3,0.07438309,0.07727396,-0.0028908700000000037,-0.03537541000000011
-1,method4,TUN,2003,20.6,0.07436286,0.07727396,-0.0029111,-0.03828651000000011
-1,method4,TUN,2004,20.0,0.07516762,0.07727396,-0.002106339999999998,-0.040392850000000105
-1,method4,TUN,2005,19.8,0.07632279,0.07727396,-0.0009511700000000012,-0.041344020000000106
-1,method4,TUN,2006,20.4,0.07411118,0.07727396,-0.003162780000000004,-0.04450680000000011
-1,method4,TUN,2007,20.4,0.07408654,0.07727396,-0.0031874199999999964,-0.047694220000000107
-1,method4,TUN,2008,20.4,0.07407415,0.07727396,-0.0031998099999999974,-0.050894030000000104
-1,method4,TUN,2009,20.3,0.07435306,0.07727396,-0.002920900000000004,-0.05381493000000011
-1,method4,TUN,2010,20.4,0.07408375,0.07727396,-0.003190209999999999,-0.05700514000000011
-1,method4,TUN,2011,20.2,0.07487504,0.07727396,-0.002398919999999999,-0.059404060000000106
-1,method4,TUN,2012,20.6,0.07364769,0.07727396,-0.003626270000000001,-0.0630303300000001
-1,method4,TUN,2013,20.3,0.07457723,0.07727396,-0.0026967300000000083,-0.06572706000000011
-1,method4,TUN,2014,20.8,0.07335583,0.07727396,-0.003918130000000006,-0.06964519000000012
-1,method4,TUN,2015,20.6,0.07361667,0.07727396,-0.0036572900000000075,-0.07330248000000013
-1,method4,TUN,2016,20.8,0.07324754,0.07727396,-0.004026420000000003,-0.07732890000000013
-1,method4,TUN,2017,20.5,0.07398854,0.07727396,-0.0032854199999999972,-0.08061432000000013
-1,method4,TUN,2018,20.5,0.07404304,0.07727396,-0.0032309199999999982,-0.08384524000000013
-1,method4,TUN,2019,20.5,0.07410618,0.07727396,-0.003167780000000009,-0.08701302000000014
-1,method4,TUN,2020,20.7,0.07340063,0.07727396,-0.003873330000000008,-0.09088635000000014
-1,method4,TUN,2021,21.0,0.07281846,0.07727396,-0.004455500000000001,-0.09534185000000014
-1,method4,TUN,2022,21.2,0.07273492,0.07727396,-0.004539040000000008,-0.09988089000000015
-1,method4,TZA,1961,22.6,0.06847947,0.06847947,0.0,0.0
-1,method4,TZA,1962,22.2,0.06914018,0.06847947,0.0006607099999999949,0.0006607099999999949
-1,method4,TZA,1963,22.1,0.0695467,0.06847947,0.0010672300000000023,0.0017279399999999973
-1,method4,TZA,1964,22.1,0.06956428,0.06847947,0.0010848100000000055,0.0028127500000000027
-1,method4,TZA,1965,22.1,0.06958422,0.06847947,0.0011047500000000016,0.003917500000000004
-1,method4,TZA,1966,22.6,0.0682624,0.06847947,-0.00021706999999999976,0.0037004300000000045
-1,method4,TZA,1967,22.3,0.06880897,0.06847947,0.00032949999999999646,0.004029930000000001
-1,method4,TZA,1968,22.0,0.0702156,0.06847947,0.0017361300000000024,0.005766060000000003
-1,method4,TZA,1969,22.6,0.06813565,0.06847947,-0.0003438199999999947,0.005422240000000009
-1,method4,TZA,1970,22.5,0.06824982,0.06847947,-0.0002296499999999979,0.005192590000000011
-1,method4,TZA,1971,22.1,0.06976591,0.06847947,0.0012864399999999998,0.006479030000000011
-1,method4,TZA,1972,22.4,0.06847719,0.06847947,-2.280000000007276e-06,0.006476750000000003
-1,method4,TZA,1973,22.6,0.0679862,0.06847947,-0.000493270000000004,0.005983479999999999
-1,method4,TZA,1974,22.2,0.0693393,0.06847947,0.0008598300000000059,0.006843310000000005
-1,method4,TZA,1975,22.2,0.06937429,0.06847947,0.0008948200000000045,0.00773813000000001
