# Input data: Maddison_CRU_dataset.csv
iteration,approach,approach_name,C_Delta_u,C_epsilon,C_j,C_k,C_v,Sigma_Delta_u_Delta_u,Sigma_Delta_u_epsilon,Sigma_Delta_u_j,Sigma_Delta_u_k,Sigma_Delta_u_v,Sigma_epsilon_epsilon,Sigma_h_epsilon,Sigma_h_h,Sigma_h_j,Sigma_h_k,Sigma_j_epsilon,Sigma_j_j,Sigma_j_k,Sigma_k_epsilon,Sigma_k_k,Sigma_v_epsilon,Sigma_v_j,Sigma_v_k,Sigma_v_v,cov_epsilon_Delta_u,cov_epsilon_j,cov_epsilon_k,cov_epsilon_v,s_Delta_u,s_epsilon,s_j,s_k,s_v,sum_check,var_dy
1,Approach DJ,Approach DJ: Decay (Joint OLS),4.1571304179976685e-06,0.003567461554347691,0.00026213454506336664,0.00010021287243528279,0.0,7.552953446492743e-06,-3.843358305844219e-06,9.35379252943861e-07,-4.878439755947166e-07,0.0,0.003738297953661893,-3.843358305844219e-06,7.552953446492743e-06,9.35379252943861e-07,-4.878439755947166e-07,-0.00012382715612458672,0.00041347357681854245,-2.8447254883532914e-05,-4.316588488377097e-05,0.0001723138561781814,0.0,0.0,0.0,0.0,-3.843358305844219e-06,-0.00012382715612458672,-4.316588488377097e-05,0.0,0.0010567275644812694,0.906835865284733,0.0666336562769276,0.025473750873857698,0.0,0.003933966102264338,0.00393396610226434
2,Approach DJ,Approach DJ: Decay (Joint OLS),4.528661427009517e-06,0.003529855437234589,0.0002750292600176684,0.0001245527435850727,0.0,1.0115489946851074e-05,-3.173148588285108e-06,-1.6983101118551596e-06,-7.153698197012895e-07,0.0,0.00415108224606026,-3.173148588285108e-06,1.0115489946851074e-05,-1.6983101118551596e-06,-7.153698197012895e-07,-0.0004785268340515552,0.0008899037087118946,-0.00013464930453081572,-0.00013952682618583096,0.00039944424412142066,0.0,0.0,0.0,0.0,-3.173148588285108e-06,-0.0004785268340515552,-0.00013952682618583096,0.0,0.0011511694074849495,0.8972765258965627,0.06991144632877369,0.031660858367178545,0.0,0.00393396610226434,0.00393396610226434
3,Approach DJ,Approach DJ: Decay (Joint OLS),1.44826957510678e-05,0.003441818575819718,0.000256214897271208,0.00022144993342234427,0.0,6.930122514965218e-05,-2.1524988093719105e-05,-2.9296481560824558e-05,-3.997059744040727e-06,0.0,0.003714523860315391,-2.1524988093719105e-05,6.930122514965218e-05,-2.9296481560824558e-05,-3.997059744040727e-06,-0.00017397000060475636,0.0004969059292590138,-3.742454982222477e-05,-7.721029579719738e-05,0.00034008183878580714,0.0,0.0,0.0,0.0,-2.1524988093719105e-05,-0.00017397000060475636,-7.721029579719738e-05,0.0,0.0036814490452095525,0.874897873125712,0.06512890315036879,0.056291774678709244,0.0,0.003933966102264338,0.00393396610226434
4,Approach DJ,Approach DJ: Decay (Joint OLS),1.316327339699007e-07,0.003422733523557685,0.00026991313594139637,0.00024118781003129025,0.0,2.103968276207923e-06,-2.2768211880440153e-07,2.5895078499927527e-07,-2.0036042084328963e-06,0.0,0.0038351915083317347,-2.2768211880440153e-07,2.103968276207923e-06,2.5895078499927527e-07,-2.0036042084328963e-06,-0.00036314153218821416,0.0006977410144389576,-6.494529709434641e-05,-4.9088770467031214e-05,0.0003572254818011008,0.0,0.0,0.0,0.0,-2.2768211880440153e-07,-0.00036314153218821416,-4.9088770467031214e-05,0.0,3.3460566397390816e-05,0.87004652164837,0.06861094603383538,0.06130907175139757,0.0,0.003933966102264342,0.00393396610226434
-1,Approach QP,Approach QP: Quadratic (Polynomial Detrending),1.4606259523496994e-06,0.0032020964141067933,0.00039961618011503545,0.0003219735556703611,8.819326419799222e-06,2.2221740134316625e-06,1.0071506012384848e-09,5.275086410320936e-07,-1.2885246502886482e-06,-1.5392024266470837e-09,0.003201332851744509,2.5463530278809606e-09,0.00018640271999198878,-0.00017564512726886246,-4.801867040052689e-07,-5.27508641032065e-07,0.0005765971539712134,-8.083379462833827e-07,1.2885246502884557e-06,0.0003219735556703613,1.5392024266424758e-09,-0.00017617263590989456,8.083379462833793e-07,0.0001841836243834104,1.0071506012384848e-09,-5.27508641032065e-07,1.2885246502884557e-06,1.5392024266424758e-09,0.0003712858510674462,0.8139613638927158,0.10158099224216029,0.08184451703461229,0.0022418409794438573,0.003933966102264339,0.00393396610226434
0,Approach QP,Approach QP: Quadratic (Polynomial Detrending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00393396610226434
1,Approach QP,Approach QP: Quadratic (Polynomial Detrending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00393396610226434
2,Approach QP,Approach QP: Quadratic (Polynomial Detrending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00393396610226434
3,Approach QP,Approach QP: Quadratic (Polynomial Detrending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00393396610226434
4,Approach QP,Approach QP: Quadratic (Polynomial Detrending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00393396610226434
