model,region,year,area,lai,tas,pr,gpp,pct_growth_gpp
MIROC-ES2L,Côte d'Ivoire,1935,191899615232.0,630204339060.043,25.575425201862735,1.5447565189192554,5.089453030321767,-0.002338385315039826
MIROC-ES2L,Côte d'Ivoire,1936,191899615232.0,629282014959.289,25.0747740073704,1.5239013743868162,5.052857524874487,-0.007216435360195561
MIROC-ES2L,Côte d'Ivoire,1937,191899615232.0,631107321968.2527,24.661410908600356,1.585845824911217,5.18112288626346,0.02506787642306807
MIROC-ES2L,Côte d'Ivoire,1938,191899615232.0,638302741904.1771,25.095863716907584,1.5722935459888956,5.226076572327594,0.00863901298839398
MIROC-ES2L,Côte d'Ivoire,1939,191899615232.0,641295965619.9626,25.47808801440586,1.5872039557716109,5.132734966525234,-0.018022170183125574
MIROC-ES2L,Côte d'Ivoire,1940,191899615232.0,636829099846.7207,25.911155900749463,1.5327215964877863,5.0815849463726295,-0.01001543874783839
MIROC-ES2L,Côte d'Ivoire,1941,191899615232.0,639463230464.2391,25.811006133869395,1.5825223516842457,5.0347910509971,-0.009251184242831556
MIROC-ES2L,Côte d'Ivoire,1942,191899615232.0,634752302591.1505,25.020150645963874,1.587126784224046,5.1545135468929715,0.023500721715081996
MIROC-ES2L,Côte d'Ivoire,1943,191899615232.0,627808599868.9824,24.357063563141743,1.6685527719583395,4.9444912203841795,-0.04159867562540076
MIROC-ES2L,Côte d'Ivoire,1944,191899615232.0,626483301396.2024,25.655556656458298,1.5385656084811832,5.1986278216136945,0.05012063821225721
MIROC-ES2L,Côte d'Ivoire,1945,191899615232.0,627300427654.4972,26.490576151484973,1.570029000713004,5.0719778820872214,-0.02466385396770554
MIROC-ES2L,Côte d'Ivoire,1946,191899615232.0,621696208494.7732,25.53780007499304,1.6652049656230563,5.087889217973918,0.003132196265634768
MIROC-ES2L,Côte d'Ivoire,1947,191899615232.0,624324642905.3024,24.95793570431677,1.5715000741039067,5.156621502686127,0.01341856490741189
MIROC-ES2L,Côte d'Ivoire,1948,191899615232.0,623999562209.424,24.833978915381223,1.6818778314456708,5.139021042499325,-0.003419014841441914
MIROC-ES2L,Côte d'Ivoire,1949,191899615232.0,625098887698.4666,25.608816894694613,1.515195537734174,5.25103562154035,0.02156271572607049
MIROC-ES2L,Côte d'Ivoire,1950,191899615232.0,621549891391.4233,25.751081399086473,1.6034502561083122,5.1163225464714275,-0.025989390053762884
MIROC-ES2L,Côte d'Ivoire,1951,191899615232.0,617194014842.2507,25.132388999765535,1.5800439976536287,5.113083333264815,-0.0006333140659313674
MIROC-ES2L,Côte d'Ivoire,1952,191899615232.0,617160693714.8164,24.742606338134117,1.7547496515675456,5.081992000534558,-0.006099303457649974
MIROC-ES2L,Côte d'Ivoire,1953,191899615232.0,609478434144.4645,25.844655990874582,1.5189982828150659,5.1519171843564315,0.013665603389350744
MIROC-ES2L,Côte d'Ivoire,1954,191899615232.0,609515255416.7297,25.455446058958277,1.605887935200136,5.104771950772326,-0.009193135328076973
MIROC-ES2L,Côte d'Ivoire,1955,191899615232.0,607780424704.6741,24.92315815969652,1.6996620162674718,5.0587988580308645,-0.009046703595277483
MIROC-ES2L,Côte d'Ivoire,1956,191899615232.0,609682226772.5458,25.717837542010603,1.4662160151074626,5.280584078980436,0.042907637334614224
MIROC-ES2L,Côte d'Ivoire,1957,191899615232.0,607174482430.5659,25.937944919974644,1.588247505931483,4.978834770009833,-0.05884083088635461
MIROC-ES2L,Côte d'Ivoire,1958,191899615232.0,603152844428.5321,25.22254865380692,1.6654448829604787,5.119738536975795,0.027907489017754417
MIROC-ES2L,Côte d'Ivoire,1959,191899615232.0,602626968123.581,25.48840183314611,1.5175137674170396,5.122481707155892,0.0005356592965786167
MIROC-ES2L,Côte d'Ivoire,1960,191899615232.0,606919294702.7966,25.6045650624485,1.6800561605353133,5.05131028956027,-0.013991357135362037
MIROC-ES2L,Côte d'Ivoire,1961,191899615232.0,618265649785.7307,26.428555120328742,1.5877630086108783,5.19841005895262,0.02870514802842483
MIROC-ES2L,Côte d'Ivoire,1962,191899615232.0,609107141882.4567,25.544111576130312,1.5066598302215317,5.220494770164166,0.004239360019044014
MIROC-ES2L,Côte d'Ivoire,1963,191899615232.0,610914843716.011,24.85072337272819,1.6598619056879311,4.984339783150151,-0.046291227008510516
MIROC-ES2L,Côte d'Ivoire,1964,191899615232.0,613995076835.2092,24.882198729073767,1.6295010883298642,5.052991704074654,0.013679530575532839
MIROC-ES2L,Côte d'Ivoire,1965,191899615232.0,618208795886.4142,25.898643124788556,1.5697476344181929,5.289292299724862,0.04570397162416939
MIROC-ES2L,Côte d'Ivoire,1966,191899615232.0,620294730364.7563,26.257306011097242,1.4935665654866725,5.149592972813214,-0.02676677900335478
MIROC-ES2L,Côte d'Ivoire,1967,191899615232.0,614990927035.6606,25.411599302364152,1.6365129297482908,5.150775304558675,0.00022957077238694445
MIROC-ES2L,Côte d'Ivoire,1968,191899615232.0,618729989037.9071,25.159532036004645,1.5534517790977511,5.368839915694002,0.041464606666335335
MIROC-ES2L,Côte d'Ivoire,1969,191899615232.0,622551359725.4617,25.289495565831157,1.6640123241447966,5.209718261247309,-0.030086076818720997
MIROC-ES2L,Côte d'Ivoire,1970,191899615232.0,622754506944.0935,26.029605266775626,1.5639303103545361,5.286275258861089,0.014588110245254304
MIROC-ES2L,Côte d'Ivoire,1971,191899615232.0,622348396053.4424,25.5224020654918,1.6285974935738767,5.19505184085095,-0.017407284521319344
MIROC-ES2L,Côte d'Ivoire,1972,191899615232.0,614841064098.1166,25.586142959272276,1.5322431716947806,5.263204128329219,0.013033387674623587
MIROC-ES2L,Côte d'Ivoire,1973,191899615232.0,614676394845.16,26.10888455390751,1.4828510643457833,5.265036644577299,0.0003481144297727834
MIROC-ES2L,Côte d'Ivoire,1974,191899615232.0,608421010533.8873,26.213111387904338,1.553168624751594,5.1297820140620685,-0.026024939701103422
MIROC-ES2L,Côte d'Ivoire,1975,191899615232.0,610983954006.2189,26.699468745271663,1.6188121087192153,5.106598697142614,-0.004529600297550562
MIROC-ES2L,Côte d'Ivoire,1976,191899615232.0,601825374446.4293,26.230596824806046,1.5403664979497766,5.217480302576641,0.0214810191045276
MIROC-ES2L,Côte d'Ivoire,1977,191899615232.0,617184810851.9365,25.164548840200133,1.657205332623812,5.180709315804396,-0.0070726042514459575
MIROC-ES2L,Côte d'Ivoire,1978,191899615232.0,605308467222.683,25.491731738321075,1.635803755966942,5.230635322147412,0.00959076675935866
MIROC-ES2L,Côte d'Ivoire,1979,191899615232.0,604175135193.9261,25.59273116129473,1.6210179422021294,5.240663338713045,0.0019153344692131036
MIROC-ES2L,Côte d'Ivoire,1980,191899615232.0,602893034876.843,26.247743260261625,1.5759341210315223,5.301785291039036,0.011595529525202819
MIROC-ES2L,Côte d'Ivoire,1981,191899615232.0,599256503978.3123,26.681534092826745,1.4814096125857446,5.241871637805307,-0.011364993857958305
MIROC-ES2L,Côte d'Ivoire,1982,191899615232.0,613578551461.0979,25.735364300066855,1.5207537662954425,5.179627928613816,-0.011945392106963437
MIROC-ES2L,Côte d'Ivoire,1983,191899615232.0,603271124363.6094,25.59102363633734,1.4509921518838178,5.3480529012091464,0.03199932572643549
