,iso_id,year,pcGDP,growth_pcGDP,temp,precp,Pop
6509,MUS,1992,4177.36265335488,0.04993659642800452,23.200000000000003,7.106811034767257,1084441.0
6510,MUS,1993,4337.92493399566,0.037716004732118336,23.299999999999997,7.4980942395604,1097374.0
6511,MUS,1994,4454.5426070274,0.026528278107033287,23.5,7.369789738578196,1112846.0
6512,MUS,1995,4605.76436655081,0.033384256081451014,23.35,7.486641339653038,1122457.0
6513,MUS,1996,4813.64243758838,0.044145418915441326,23.15,7.2212878300240275,1133996.0
6514,MUS,1997,5024.11496458349,0.042795250911810356,23.45,7.364926929412494,1148284.0
6515,MUS,1998,5273.4376456861,0.04843314259730569,23.75,7.403761637849777,1160421.0
6516,MUS,1999,5342.7700968418,0.013061808618186177,23.4,6.9007810152448,1175267.0
6517,MUS,2000,5724.49584395791,0.06901022017434322,23.299999999999997,7.182731978936364,1186873.0
6518,MUS,2001,5869.56961565396,0.025026828470794626,23.75,7.109552612276748,1196287.0
6519,MUS,2002,5923.09482066607,0.00907777421583944,23.75,7.326531401149974,1204621.0
6520,MUS,2003,6228.82545560651,0.050328698566556085,23.9,7.46132425028696,1213370.0
6521,MUS,2004,6457.90977761094,0.03611791697409039,23.75,7.363691677058103,1221003.0
6522,MUS,2005,6533.89994300683,0.011698298179192435,23.6,7.542107413031577,1228254.0
6523,MUS,2006,6819.92708580325,0.0428447807887089,23.8,7.448333860897476,1233996.0
6524,MUS,2007,7180.23173197486,0.051482876620601914,23.9,7.298681879969179,1239630.0
6525,MUS,2008,7545.15683789094,0.049574221812950015,23.8,7.387245022438274,1244121.0
6526,MUS,2009,7778.25811331163,0.03042654123143329,24.3,7.338628191024834,1247429.0
6527,MUS,2010,8100.95282599507,0.04064926736708152,24.3,7.420997979263733,1250400.0
6528,MUS,2011,8423.28220250903,0.03901787497308895,24.25,7.287834200699885,1252404.0
6529,MUS,2012,8694.84560747968,0.03173082860484655,24.15,7.297802134361921,1255882.0
6530,MUS,2013,8968.51243536773,0.030989433389430943,24.1,7.300000048919446,1258927.0
6531,MUS,2014,9297.64820128968,0.036041662031060184,24.5,7.270104096016674,1261208.0
6532,MUS,2015,9630.5437837507,0.03517820529747695,24.45,7.4620713338226565,1262879.0
6533,MUS,2016,9997.89198315532,0.03743457719278531,24.2,7.118583304573698,1263747.0
6534,MUS,2017,10383.8832682578,0.03788064931017132,24.65,7.257531481229713,1264887.0
