# Input data: Maddison_CRU_dataset.csv
iteration,approach,approach_name,h1,h2,T_opt,r_squared,total_r_squared,f1,h4,h3,f2
0,approach3,3: Quadratic GDP Growth Detrending,0.00010453477222590376,-3.636982365083322e-06,14.371085935071465,0.116111265623012,0.23035963164140583,,,,
1,approach3,3: Quadratic GDP Growth Detrending,0.00010433269786154549,-3.8102321400563367e-06,13.691120911599217,0.09957646810457899,0.20182614761466977,,,,
2,approach3,3: Quadratic GDP Growth Detrending,0.00025607122380489434,-7.911360923738727e-06,16.183765743548012,0.09554897219410452,0.19626883366557646,,,,
3,approach3,3: Quadratic GDP Growth Detrending,0.00013968408946734963,-4.6847442296769475e-06,14.908400823942316,0.10380681197354458,0.19068855466822965,,,,
4,approach3,3: Quadratic GDP Growth Detrending,0.00014793915405400898,-4.978762622402428e-06,14.857020235142597,0.09248399545882813,0.1855879451081368,,,,
5,approach3,3: Quadratic GDP Growth Detrending,0.00015928621220560226,-5.273074775535743e-06,15.10373159741688,0.10697302562484212,0.19689278665514598,,,,
6,approach3,3: Quadratic GDP Growth Detrending,0.00014351358792664886,-4.853024961551484e-06,14.78599317576644,0.09668453061054738,0.1777616990800519,,,,
7,approach3,3: Quadratic GDP Growth Detrending,0.0001578944596469968,-5.134670491293226e-06,15.375325438578363,0.08605702525386283,0.18022442453942478,,,,
8,approach3,3: Quadratic GDP Growth Detrending,0.00012475172731228726,-3.915983077468568e-06,15.92853248397223,0.10071307009546426,0.20236005347743868,,,,
9,approach3,3: Quadratic GDP Growth Detrending,0.0001711635093751508,-5.521491962009895e-06,15.499751747609633,0.10679347759831403,0.18500159621531498,,,,
0,approach4,4: Combined Quadratic Detrending,0.009269923109599048,-0.0003179131824731738,14.579331120346454,0.1178771213065708,0.23189723899615988,,,,
1,approach4,4: Combined Quadratic Detrending,0.01100846530279508,-0.00037515391462162706,14.6719318041743,0.10212590737700955,0.20408607940611778,,,,
2,approach4,4: Combined Quadratic Detrending,0.01896974351516109,-0.0005070889510456671,18.70455220533165,0.09954643597914536,0.19982113902159415,,,,
